unique_identifier,region,seoul_metro_area,n_fam_members,n_under_age10,live_toge_couple,both_work,only_man_works,only_woman_works,both_dont_work,GENDER_RESP,AGE_RESP,HOUSE_TYPE,HOUSE_TYPE2,HOUSE_SQ_METER,HOUSE_RENT,HOUSE_RENT2,HOUSEHOLD_INC,TIME_SHORTAGE,WORK_GIVEUP,WORK_GIVEUP2,HOW_TIRED,REASON_TIRED,REASON_TIRED2,SATIS_LIFE,SATIS_LEISURE,SATIS_HOUWORK_DIVISION,GENDER_ROLE,edu_level,working_status,reason_not_working,working_field,position_type,hired_status,working_time,weekly_worktime,week_sidejob_worktime,dayoff_type,health_status
12352,32,N,4,0,Y,N,Y,N,N,1,47,1,SINGLE,160,1,OWN,5,2,5,SOCIALIZING,2,1,WORK,2,2,1,1,5,1,,CONSTRUCTION,office_worker,4,,52,0,5,4
10864,33,N,4,0,Y,N,Y,N,N,2,47,2,APT,59,2,JEONSE,3,2,6,MOVETIME,2,4,HOUSEWORK,2,2,2,3,5,3,2,,,,,,,,2
10484,34,N,3,0,Y,N,Y,N,N,2,47,2,APT,60,1,OWN,5,4,,,3,,,2,4,4,3,5,3,2,,,,,,,,2
10637,34,N,4,0,Y,N,Y,N,N,1,47,1,SINGLE,36,2,JEONSE,5,3,,,2,1,WORK,3,3,4,3,5,1,,MANUFACTURE,office_worker,1,1,45,0,1,2
6349,35,N,3,1,Y,N,Y,N,N,1,47,2,APT,60,1,OWN,4,2,6,MOVETIME,2,1,WORK,3,3,3,2,3,1,,WHOLESALE_RETAIL,saler_worker,5,,52,0,1,3
6572,35,N,3,0,Y,N,Y,N,N,1,47,1,SINGLE,112,2,JEONSE,7,3,,,2,1,WORK,2,2,2,2,3,1,,MANUFACTURE,machine_tech,1,1,40,0,1,3
6704,35,N,4,1,Y,N,Y,N,N,2,47,2,APT,60,1,OWN,4,2,3,CHI_CARE,2,3,CHI_CARE,2,2,2,2,3,3,2,,,,,,,,3
5633,36,N,4,1,Y,N,Y,N,N,1,47,2,APT,85,1,OWN,9,3,,,2,1,WORK,2,3,3,4,4,1,,CONSTRUCTION,skill_own_worker,1,1,52,0,3,3
5883,36,N,4,0,Y,N,Y,N,N,1,47,2,APT,85,2,JEONSE,3,1,1,WORK,1,1,WORK,1,1,1,2,5,1,,WHOLESALE_RETAIL,office_worker,1,1,49,0,1,3
6038,36,N,3,0,Y,N,Y,N,N,2,47,2,APT,134,1,OWN,9,2,4,HOUSEWORK,2,4,HOUSEWORK,2,2,2,3,5,3,1,,,,,,,,2
4258,37,N,4,1,Y,N,Y,N,N,1,47,2,APT,78,1,OWN,5,3,,,2,1,WORK,2,2,2,3,5,1,,IT,simple_worker,1,1,52,0,1,2
4498,37,N,3,0,Y,N,Y,N,N,2,47,1,SINGLE,105,1,OWN,3,4,,,3,,,2,2,4,3,3,3,2,,,,,,,,3
4553,37,N,4,0,Y,N,Y,N,N,2,47,2,APT,100,1,OWN,8,3,,,2,3,CHI_CARE,2,3,2,3,4,3,1,,,,,,,,3
4569,37,N,4,1,Y,N,Y,N,N,2,47,1,SINGLE,189,1,OWN,6,3,,,2,2,STUDY,2,2,3,3,3,3,2,,,,,,,,2
4612,37,N,2,0,Y,N,Y,N,N,1,47,2,APT,83,1,OWN,3,1,1,WORK,2,1,WORK,3,3,3,4,3,1,,MANUFACTURE,machine_tech,1,1,40,0,1,2
8730,38,N,3,0,Y,N,Y,N,N,1,47,1,SINGLE,110,1,OWN,6,2,5,SOCIALIZING,2,5,SOCIALIZING,1,1,3,1,4,1,,TRANSPORTATION,office_worker,1,1,40,0,1,2
